hrsrelax,mntlhlth,hrs1,degree,grass
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
7.0,0.0,38.0,HIGH SCHOOL,
6.0,4.0,42.0,BACHELOR,LEGAL
2.0,15.0,41.0,HIGH SCHOOL,
5.0,5.0,38.0,BACHELOR,NOT LEGAL
6.0,0.0,40.0,HIGH SCHOOL,
,,,BACHELOR,
8.0,0.0,24.0,HIGH SCHOOL,NOT LEGAL
5.0,3.0,45.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,
4.0,2.0,40.0,BACHELOR,NOT LEGAL
,,,GRADUATE,LEGAL
4.0,2.0,52.0,BACHELOR,LEGAL
5.0,12.0,45.0,LT HIGH SCHOOL,
8.0,0.0,72.0,HIGH SCHOOL,
4.0,7.0,40.0,HIGH SCHOOL,LEGAL
2.0,2.0,60.0,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
2.0,0.0,55.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,5.0,85.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,50.0,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,
8.0,0.0,49.0,BACHELOR,NOT LEGAL
4.0,1.0,40.0,BACHELOR,
3.0,15.0,50.0,HIGH SCHOOL,LEGAL
6.0,0.0,52.0,JUNIOR COLLEGE,LEGAL
3.0,0.0,42.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2.0,1.0,45.0,HIGH SCHOOL,LEGAL
4.0,15.0,55.0,GRADUATE,LEGAL
8.0,30.0,64.0,HIGH SCHOOL,
1.0,0.0,60.0,BACHELOR,LEGAL
2.0,0.0,24.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,2.0,27.0,HIGH SCHOOL,NOT LEGAL
,,9.0,JUNIOR COLLEGE,
1.0,10.0,55.0,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,30.0,64.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
8.0,15.0,14.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
2.0,30.0,40.0,HIGH SCHOOL,LEGAL
0.0,30.0,28.0,LT HIGH SCHOOL,
1.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2.0,1.0,9.0,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,30.0,37.0,BACHELOR,
6.0,0.0,15.0,HIGH SCHOOL,
3.0,0.0,45.0,HIGH SCHOOL,
4.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
4.0,0.0,20.0,JUNIOR COLLEGE,
,,,BACHELOR,LEGAL
2.0,1.0,50.0,BACHELOR,
,,,BACHELOR,NOT LEGAL
,0.0,20.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
4.0,20.0,50.0,HIGH SCHOOL,NOT LEGAL
5.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,0.0,36.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
4.0,1.0,40.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
3.0,2.0,55.0,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,0.0,44.0,HIGH SCHOOL,
5.0,2.0,35.0,HIGH SCHOOL,LEGAL
0.0,6.0,22.0,HIGH SCHOOL,
0.0,30.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
0.0,0.0,89.0,JUNIOR COLLEGE,
2.0,10.0,40.0,LT HIGH SCHOOL,
3.0,1.0,50.0,GRADUATE,NOT LEGAL
4.0,5.0,40.0,BACHELOR,NOT LEGAL
3.0,10.0,40.0,BACHELOR,LEGAL
4.0,15.0,60.0,BACHELOR,LEGAL
2.0,0.0,25.0,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,LEGAL
3.0,2.0,36.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
6.0,0.0,40.0,GRADUATE,NOT LEGAL
6.0,0.0,40.0,GRADUATE,
4.0,4.0,9.0,GRADUATE,LEGAL
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,60.0,GRADUATE,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
5.0,30.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,0.0,38.0,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
2.0,12.0,40.0,HIGH SCHOOL,LEGAL
1.0,2.0,40.0,BACHELOR,LEGAL
5.0,0.0,45.0,GRADUATE,
2.0,0.0,50.0,BACHELOR,
0.0,,56.0,JUNIOR COLLEGE,LEGAL
,,,BACHELOR,
2.0,20.0,50.0,GRADUATE,LEGAL
,,,JUNIOR COLLEGE,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
4.0,15.0,30.0,GRADUATE,
,,,BACHELOR,
2.0,0.0,70.0,GRADUATE,LEGAL
3.0,1.0,50.0,GRADUATE,
4.0,0.0,40.0,HIGH SCHOOL,
,,9.0,BACHELOR,NOT LEGAL
2.0,10.0,40.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
5.0,0.0,50.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,
3.0,0.0,60.0,BACHELOR,NOT LEGAL
6.0,10.0,50.0,JUNIOR COLLEGE,LEGAL
1.0,7.0,52.0,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
6.0,0.0,38.0,GRADUATE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,7.0,55.0,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,3.0,50.0,JUNIOR COLLEGE,
1.0,0.0,60.0,HIGH SCHOOL,NOT LEGAL
3.0,1.0,20.0,HIGH SCHOOL,LEGAL
8.0,0.0,9.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5.0,0.0,40.0,HIGH SCHOOL,
4.0,0.0,60.0,JUNIOR COLLEGE,LEGAL
5.0,0.0,50.0,BACHELOR,
4.0,0.0,52.0,HIGH SCHOOL,LEGAL
5.0,0.0,32.0,BACHELOR,LEGAL
5.0,4.0,40.0,BACHELOR,LEGAL
4.0,5.0,32.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,45.0,JUNIOR COLLEGE,
,,,GRADUATE,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
3.0,0.0,50.0,BACHELOR,LEGAL
4.0,10.0,40.0,JUNIOR COLLEGE,LEGAL
1.0,1.0,40.0,HIGH SCHOOL,NOT LEGAL
6.0,0.0,30.0,HIGH SCHOOL,LEGAL
2.0,7.0,40.0,HIGH SCHOOL,
4.0,0.0,50.0,JUNIOR COLLEGE,LEGAL
,,,BACHELOR,
2.0,0.0,38.0,HIGH SCHOOL,
,,,BACHELOR,
3.0,5.0,40.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
3.0,0.0,55.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,2.0,9.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,0.0,30.0,HIGH SCHOOL,
4.0,0.0,45.0,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,50.0,BACHELOR,NOT LEGAL
3.0,0.0,50.0,GRADUATE,LEGAL
,,,GRADUATE,
5.0,0.0,40.0,BACHELOR,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,
1.0,0.0,40.0,GRADUATE,LEGAL
2.0,0.0,40.0,BACHELOR,
16.0,4.0,20.0,BACHELOR,LEGAL
4.0,0.0,40.0,BACHELOR,LEGAL
,,,BACHELOR,NOT LEGAL
0.0,0.0,50.0,BACHELOR,NOT LEGAL
4.0,10.0,32.0,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
0.0,0.0,30.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,
2.0,1.0,50.0,BACHELOR,
,,,GRADUATE,NOT LEGAL
2.0,2.0,26.0,GRADUATE,
8.0,0.0,16.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2.0,0.0,38.0,GRADUATE,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,GRADUATE,LEGAL
3.0,0.0,32.0,HIGH SCHOOL,
16.0,3.0,40.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,LEGAL
,,,GRADUATE,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,1.0,40.0,LT HIGH SCHOOL,
4.0,0.0,16.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
3.0,2.0,45.0,BACHELOR,
,,,HIGH SCHOOL,LEGAL
2.0,1.0,35.0,JUNIOR COLLEGE,LEGAL
5.0,0.0,40.0,BACHELOR,
3.0,0.0,35.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,LEGAL
10.0,7.0,8.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
8.0,0.0,16.0,HIGH SCHOOL,NOT LEGAL
1.0,4.0,55.0,GRADUATE,LEGAL
3.0,5.0,65.0,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
16.0,4.0,38.0,JUNIOR COLLEGE,NOT LEGAL
2.0,3.0,32.0,GRADUATE,
4.0,25.0,40.0,BACHELOR,NOT LEGAL
,,,BACHELOR,NOT LEGAL
3.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
5.0,3.0,12.0,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,0.0,55.0,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,30.0,56.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
1.0,2.0,20.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,3.0,44.0,JUNIOR COLLEGE,
4.0,0.0,37.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2.0,7.0,65.0,HIGH SCHOOL,
3.0,14.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
12.0,0.0,12.0,HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
24.0,1.0,50.0,JUNIOR COLLEGE,NOT LEGAL
4.0,15.0,45.0,HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
4.0,10.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
8.0,30.0,30.0,HIGH SCHOOL,
0.0,14.0,42.0,LT HIGH SCHOOL,NOT LEGAL
0.0,0.0,48.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
10.0,0.0,70.0,HIGH SCHOOL,LEGAL
2.0,15.0,24.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5.0,1.0,40.0,BACHELOR,LEGAL
4.0,0.0,50.0,BACHELOR,LEGAL
4.0,30.0,38.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
5.0,0.0,32.0,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,LEGAL
4.0,1.0,55.0,GRADUATE,
5.0,1.0,40.0,GRADUATE,
,,,HIGH SCHOOL,LEGAL
8.0,30.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
0.0,5.0,52.0,HIGH SCHOOL,
2.0,0.0,42.0,HIGH SCHOOL,LEGAL
3.0,4.0,40.0,HIGH SCHOOL,NOT LEGAL
2.0,1.0,40.0,HIGH SCHOOL,LEGAL
8.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
0.0,0.0,40.0,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,
3.0,0.0,40.0,HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
3.0,0.0,60.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
6.0,3.0,45.0,BACHELOR,NOT LEGAL
5.0,2.0,9.0,GRADUATE,LEGAL
20.0,0.0,20.0,GRADUATE,
9.0,15.0,45.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5.0,,20.0,HIGH SCHOOL,NOT LEGAL
10.0,6.0,10.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3.0,10.0,50.0,GRADUATE,LEGAL
2.0,4.0,40.0,HIGH SCHOOL,
8.0,0.0,20.0,HIGH SCHOOL,NOT LEGAL
2.0,5.0,60.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1.0,,42.0,HIGH SCHOOL,
2.0,4.0,24.0,HIGH SCHOOL,NOT LEGAL
3.0,2.0,22.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
4.0,10.0,32.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
5.0,0.0,35.0,BACHELOR,LEGAL
5.0,0.0,60.0,LT HIGH SCHOOL,LEGAL
,,,BACHELOR,
6.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,LEGAL
1.0,0.0,60.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,2.0,40.0,GRADUATE,
,,,GRADUATE,NOT LEGAL
2.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
2.0,0.0,60.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,LEGAL
1.0,10.0,35.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,1.0,45.0,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
2.0,0.0,52.0,HIGH SCHOOL,LEGAL
5.0,1.0,40.0,HIGH SCHOOL,
12.0,0.0,25.0,GRADUATE,NOT LEGAL
3.0,25.0,48.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,3.0,40.0,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
6.0,0.0,40.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,GRADUATE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
2.0,0.0,45.0,GRADUATE,LEGAL
3.0,2.0,45.0,BACHELOR,NOT LEGAL
,,,GRADUATE,LEGAL
0.0,0.0,52.0,GRADUATE,LEGAL
,,,GRADUATE,NOT LEGAL
,,,GRADUATE,
3.0,30.0,28.0,HIGH SCHOOL,
,,,GRADUATE,
,,,JUNIOR COLLEGE,LEGAL
5.0,0.0,30.0,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
1.0,5.0,50.0,GRADUATE,NOT LEGAL
5.0,4.0,13.0,HIGH SCHOOL,
2.0,0.0,46.0,LT HIGH SCHOOL,LEGAL
6.0,1.0,47.0,HIGH SCHOOL,LEGAL
6.0,0.0,50.0,JUNIOR COLLEGE,
1.0,30.0,12.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,24.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
3.0,0.0,45.0,JUNIOR COLLEGE,
,,,BACHELOR,NOT LEGAL
6.0,0.0,60.0,BACHELOR,NOT LEGAL
3.0,0.0,30.0,GRADUATE,
4.0,0.0,50.0,GRADUATE,NOT LEGAL
3.0,0.0,50.0,HIGH SCHOOL,
5.0,1.0,37.0,GRADUATE,NOT LEGAL
5.0,0.0,50.0,HIGH SCHOOL,
2.0,10.0,60.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,50.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,
3.0,0.0,35.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
3.0,0.0,50.0,GRADUATE,LEGAL
2.0,5.0,50.0,GRADUATE,
,,,HIGH SCHOOL,LEGAL
10.0,,32.0,HIGH SCHOOL,NOT LEGAL
5.0,7.0,40.0,LT HIGH SCHOOL,NOT LEGAL
6.0,15.0,15.0,HIGH SCHOOL,
4.0,2.0,40.0,HIGH SCHOOL,
0.0,0.0,9.0,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,NOT LEGAL
4.0,4.0,9.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,BACHELOR,NOT LEGAL
3.0,0.0,45.0,GRADUATE,LEGAL
5.0,0.0,60.0,GRADUATE,
5.0,0.0,31.0,HIGH SCHOOL,LEGAL
2.0,0.0,12.0,GRADUATE,NOT LEGAL
,,,BACHELOR,
5.0,0.0,48.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,GRADUATE,
2.0,0.0,45.0,BACHELOR,
4.0,0.0,45.0,HIGH SCHOOL,LEGAL
5.0,0.0,40.0,JUNIOR COLLEGE,NOT LEGAL
2.0,0.0,70.0,GRADUATE,
0.0,30.0,60.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1.0,0.0,40.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,20.0,40.0,BACHELOR,
5.0,5.0,40.0,GRADUATE,NOT LEGAL
2.0,0.0,5.0,BACHELOR,
,,,HIGH SCHOOL,
2.0,0.0,60.0,BACHELOR,NOT LEGAL
2.0,0.0,40.0,BACHELOR,
,,,HIGH SCHOOL,
1.0,2.0,40.0,BACHELOR,
,,,HIGH SCHOOL,LEGAL
7.0,3.0,40.0,HIGH SCHOOL,LEGAL
3.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
5.0,0.0,55.0,GRADUATE,NOT LEGAL
,,,GRADUATE,
2.0,2.0,45.0,GRADUATE,LEGAL
2.0,10.0,40.0,BACHELOR,
5.0,0.0,20.0,BACHELOR,
5.0,0.0,25.0,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,BACHELOR,
,,,BACHELOR,
,,,GRADUATE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,BACHELOR,
7.0,2.0,27.0,HIGH SCHOOL,NOT LEGAL
1.0,5.0,60.0,BACHELOR,LEGAL
3.0,2.0,50.0,BACHELOR,NOT LEGAL
2.0,5.0,52.0,HIGH SCHOOL,
3.0,10.0,41.0,LT HIGH SCHOOL,NOT LEGAL
3.0,0.0,48.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,BACHELOR,
,,,HIGH SCHOOL,LEGAL
3.0,0.0,40.0,JUNIOR COLLEGE,
,,,BACHELOR,LEGAL
4.0,0.0,40.0,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
8.0,0.0,40.0,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,0.0,9.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
8.0,0.0,41.0,HIGH SCHOOL,LEGAL
7.0,2.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,LT HIGH SCHOOL,
10.0,0.0,37.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
6.0,8.0,20.0,HIGH SCHOOL,
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,70.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5.0,15.0,30.0,LT HIGH SCHOOL,
0.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
2.0,0.0,40.0,HIGH SCHOOL,
0.0,15.0,50.0,HIGH SCHOOL,NOT LEGAL
3.0,2.0,20.0,HIGH SCHOOL,
4.0,15.0,51.0,HIGH SCHOOL,LEGAL
4.0,4.0,40.0,GRADUATE,NOT LEGAL
4.0,2.0,65.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
8.0,0.0,37.0,BACHELOR,LEGAL
2.0,0.0,75.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,38.0,GRADUATE,LEGAL
4.0,0.0,34.0,LT HIGH SCHOOL,
4.0,5.0,40.0,HIGH SCHOOL,NOT LEGAL
3.0,15.0,68.0,BACHELOR,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
8.0,1.0,40.0,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
3.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
6.0,2.0,50.0,HIGH SCHOOL,
8.0,0.0,40.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,52.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,0.0,40.0,JUNIOR COLLEGE,LEGAL
,,,JUNIOR COLLEGE,NOT LEGAL
4.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,39.0,JUNIOR COLLEGE,LEGAL
4.0,4.0,42.0,JUNIOR COLLEGE,
6.0,0.0,40.0,BACHELOR,LEGAL
0.0,0.0,19.0,LT HIGH SCHOOL,LEGAL
3.0,5.0,59.0,JUNIOR COLLEGE,
5.0,30.0,48.0,HIGH SCHOOL,NOT LEGAL
2.0,5.0,40.0,GRADUATE,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
6.0,0.0,40.0,JUNIOR COLLEGE,LEGAL
1.0,15.0,45.0,HIGH SCHOOL,LEGAL
2.0,5.0,40.0,GRADUATE,LEGAL
2.0,3.0,50.0,BACHELOR,
,,,JUNIOR COLLEGE,NOT LEGAL
,,,GRADUATE,LEGAL
4.0,0.0,40.0,BACHELOR,
2.0,0.0,60.0,BACHELOR,NOT LEGAL
4.0,0.0,60.0,GRADUATE,NOT LEGAL
4.0,0.0,50.0,GRADUATE,
5.0,0.0,25.0,HIGH SCHOOL,LEGAL
8.0,0.0,55.0,HIGH SCHOOL,LEGAL
4.0,5.0,40.0,BACHELOR,LEGAL
1.0,30.0,45.0,BACHELOR,
6.0,4.0,9.0,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,LEGAL
1.0,0.0,50.0,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
8.0,0.0,28.0,HIGH SCHOOL,LEGAL
,,,BACHELOR,
,,,LT HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,
5.0,0.0,20.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
4.0,0.0,30.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
5.0,3.0,37.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
7.0,0.0,20.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,4.0,30.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,20.0,JUNIOR COLLEGE,
2.0,30.0,30.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
